index,schema_version,standard_version,auditor_version,generated_at,run_id,repo_id,repo_remote,branch,commit,dirty_worktree,scope,changed_paths,score,raw_score,finding_count,hard_findings,soft_findings,decision,minimum_score,caps_applied,report_fingerprint,input_fingerprint,policy_fingerprint,repo_score_json_path,repo_score_md_path
1,1.0.0,,,1777884370,1777884370,,,main,120808b,true,full,[],93,93,5,5,0,fail,85,[],sha256:85f3988228a7f8abc0b250cc3c8a58316acaba71bb2999df783e17c92ef0d4f0,,,agent/repo-score.json,agent/repo-score.md
2,1.0.0,,,1777885615,1777885615,,,main,d491e36,true,full,[],93,93,5,5,0,fail,85,[],sha256:dadd3f455c78a4e15509cfa48c4650df7830bc9f75fa5d173135a886969e66b7,,,agent/repo-score.json,agent/repo-score.md
3,1.0.0,,,1777886688,1777886688,,,main,227591a,true,full,[],93,93,5,5,0,fail,85,[],sha256:c2f60af5430759820ffa15b7e4970d6563ef780c1d512d587bbf83a5de663c9a,,,agent/repo-score.json,agent/repo-score.md
4,1.0.0,,,1777888248,1777888248,,,main,cda689c,true,full,[],93,93,5,5,0,fail,85,[],sha256:de4a7bac18595061c241fe1d421fe8c1ed0e6810c724e93713c6278fd77ad349,,,agent/repo-score.json,agent/repo-score.md
5,1.0.0,,,1777894629,1777894629,,,main,385bf13,true,full,[],93,93,5,5,0,fail,85,[],sha256:9d14cd8db63898b191d618e76cfa6bb40599bc59c53daf997906f7ab5b93a54f,,,agent/repo-score.json,agent/repo-score.md
6,1.0.0,,,1777896149,1777896149,,,main,a378bc7,true,full,[],93,93,5,5,0,fail,85,[],sha256:9fe3287185509e0d922a6835d6e791327d6ec402937f2829a71396720290e951,,,agent/repo-score.json,agent/repo-score.md
7,1.0.0,,,1777897178,1777897178,,,main,a378bc7,true,full,[],93,93,0,0,0,pass,85,[],sha256:23cfb54dc3d97835e31d6da389f28cd014a86590fee100d6d47a6d1bf8e3df75,,,agent/repo-score.json,agent/repo-score.md
8,1.0.0,,,1777900249,1777900249,,,main,a378bc7,true,full,[],90,90,1,0,1,pass,85,[],sha256:9c539c38ffa21eee3457c4ac99e6a23173c6d38baa32891264966524c72980d7,,,agent/repo-score.json,agent/repo-score.md
9,1.0.0,,,1777900348,1777900348,,,main,a378bc7,true,full,[],90,90,0,0,0,pass,85,[],sha256:5c5068f62c2fe07852f5b4c5cd35ad5277659e24dc9e829224e25224f751ef5f,,,agent/repo-score.json,agent/repo-score.md
10,1.0.0,,,1777908465,1777908465,,,main,af4cfca,true,full,[],91,91,2,1,1,fail,85,[],sha256:5df6da51e6038a27618cf8f3b6b4d0e58ccf348f01f016a2401979fd595e63e6,,,agent/repo-score.json,agent/repo-score.md
11,1.0.0,,,1777910116,1777910116,,,main,16246c4,true,full,[],91,91,2,1,1,fail,85,[],sha256:20fd69e47cae4d35a3b35bd44136f045d7d0babe6327bd527131699936a3e49f,,,agent/repo-score.json,agent/repo-score.md
12,1.0.0,,,1777910155,1777910155,,,main,16246c4,true,full,[],91,91,1,0,1,pass,85,[],sha256:85e622fa296eb3282ae3af2c7a5b35fe54455f67463a06f34010c355998dd5be,,,agent/repo-score.json,agent/repo-score.md
13,1.0.0,,,1777910212,1777910212,,,main,16246c4,true,full,[],91,91,0,0,0,pass,85,[],sha256:df1cd6a9c741b1ab6162483a38ab94ff02105951505b0a1ea0de4aeef5d8b8eb,,,agent/repo-score.json,agent/repo-score.md
14,1.0.0,,,1777911851,1777911851,,,main,3276f80,true,full,[],91,91,0,0,0,pass,85,[],sha256:53555e982d0068cf1317a943026d7bf38dbffa84f5045fef537181f9ee6c96c3,,,agent/repo-score.json,agent/repo-score.md
15,1.0.0,,,1777928966,1777928966,,,main,0b8fd25,true,full,[],91,91,0,0,0,pass,85,[],sha256:195c61a1f1ec44e9aeb564eda4d943d414ad886de6b6590368208af09fc250f0,,,agent/repo-score.json,agent/repo-score.md
16,1.0.0,,,1777943762,1777943762,,,main,0545661,true,full,[],91,91,1,0,1,pass,85,[],sha256:cbba5b048ae057e0f13acd9fbbff5c7af0f80f9d0b8d6de3eb5eb43c60adccbb,,,agent/repo-score.json,agent/repo-score.md
17,1.0.0,,,1777999546,1777999546,,,main,426c983,true,full,[],91,91,1,0,1,pass,85,[],sha256:e7306b1b4a37dda4eb14c6c560d0449c65db9cfd4c1121598545d945f98ad1ee,,,agent/repo-score.json,agent/repo-score.md
18,1.0.0,,,1778012082,1778012082,,,main,eefce5e,true,full,[],88,88,1,0,1,pass,85,[],sha256:e8faf3e0b7115c51ccdaad4a1a8434fff8639014db3a23298983e58d54155d4f,,,agent/repo-score.json,agent/repo-score.md
19,1.0.0,,,1778016835,1778016835,,,main,c977352,true,full,[],70,82,5,2,3,fail,85,"[""python-direct-product-truth-or-db-ownership"",""fallback-soup-in-product-code""]",sha256:b289fe302a76a4668b737a35cc42c72a6f0a1c76660ec447ead5b6615641aaf0,,,agent/repo-score.json,agent/repo-score.md
20,1.0.0,,,1778017071,1778017071,,,main,c977352,true,full,[],88,88,1,0,1,pass,85,[],sha256:6669359dcf52fb750ef8c096a661bdd2b22cb2ffad96f629bac00ee632b110f9,,,agent/repo-score.json,agent/repo-score.md
21,1.0.0,,,1778017393,1778017393,,,main,c977352,true,full,[],90,90,0,0,0,pass,85,[],sha256:332d85b548a174a6a8f3a40be479c8af0cf031dfe77770c87a5ececce871a063,,,agent/repo-score.json,agent/repo-score.md
22,1.1.0,0.8.0,0.8.0,1778020291,1778020291,sha256:086a0c7f77c9cbd454b561c5defc0bcca5696900dba90cd55b888ab51cee7471,git@github.com:jeppsontaylor/Jankurai.git,main,56fcd77,true,full,[],78,90,1,1,0,fail,85,"[""agent-tool-supply-chain-gap""]",sha256:a7a78ecc3e4bbab324c4118d3a3915dab3ba1a2e2b60b793948b9a2bdfda7e44,sha256:4d212a3b2647114963ade33d2047a6ec2653262ec7b6b2e2312e7bf777e19c6d,sha256:6f29d419b6e365bc6a60460019d7d3390a1baea96be55cab65b6efd3da53dfb3,agent/repo-score.json,agent/repo-score.md
23,1.1.0,0.8.0,0.8.0,1778020364,1778020364,sha256:086a0c7f77c9cbd454b561c5defc0bcca5696900dba90cd55b888ab51cee7471,git@github.com:jeppsontaylor/Jankurai.git,main,56fcd77,true,full,[],90,90,0,0,0,pass,85,[],sha256:f83af041969c5a80403d40e91be530619ecbfec0be1046d8b2a15622fda326aa,sha256:d2029853a39f519f23a922bbf893b022133b16f6fc72ec20dbb3ce9b13de4378,sha256:6f29d419b6e365bc6a60460019d7d3390a1baea96be55cab65b6efd3da53dfb3,agent/repo-score.json,agent/repo-score.md
24,1.1.0,0.8.0,0.8.0,1778020485,1778020485,sha256:086a0c7f77c9cbd454b561c5defc0bcca5696900dba90cd55b888ab51cee7471,git@github.com:jeppsontaylor/Jankurai.git,main,08a86d7,true,full,[],90,90,0,0,0,pass,85,[],sha256:049f94bf950e3b6b443e5785147539de56458d8406b69350bc04c38db6e3009a,sha256:15ab45492d66ece9a3913a92df7b6da1398d790f463c65a49f2cfc2c4da61d2e,sha256:6f29d419b6e365bc6a60460019d7d3390a1baea96be55cab65b6efd3da53dfb3,agent/repo-score.json,agent/repo-score.md
25,1.1.0,0.8.0,0.8.0,1778020561,1778020561,sha256:086a0c7f77c9cbd454b561c5defc0bcca5696900dba90cd55b888ab51cee7471,git@github.com:jeppsontaylor/Jankurai.git,main,bb0cae3,true,full,[],90,90,0,0,0,pass,85,[],sha256:c6a368868e1d795a584010bfc4fd9e46ce94de8d14c4fed9c9984cf2085d3f81,sha256:d74d533eb5e044e2de6bda5e9e06863666cd39298c0e4e510a4b72936910b5cf,sha256:6f29d419b6e365bc6a60460019d7d3390a1baea96be55cab65b6efd3da53dfb3,agent/repo-score.json,agent/repo-score.md
